1	1.50	0
2	-1.35	0
3	-1.25	0
4	-0.65	-0.65
5	-0.85	0
6	-1.50	0
7	-2.25	0
8	-2.10	-1.45
9	-2.60	0
10	-1.90	0
11	-1.30	0
12	-1.50	0.60
13	1.95	0
14	457.90	0
15	443.90	0
16	450.80	452.30
17	447.45	0
18	446.55	0
19	445.15	0
20	445.10	-5.70
21	446.10	0
22	445.10	0
23	445.25	0
24	444.75	-0.35
25	444.85	0
26	444.90	0
27	446.25	0
28	445.10	0.35
29	445.95	0
30	445.30	0
31	445.20	0
32	445.70	0.60
33	443.80	0
34	444.85	0
35	445.10	0
36	444.65	-1.05
37	444.25	0
38	444.70	0
39	444.45	0
40	444.60	-0.05
41	444.00	0
42	444.45	0
43	443.65	0
44	444.45	-0.15
45	443.95	0
46	444.00	0
47	444.50	0
48	444.40	-0.05
49	444.75	0
50	443.85	0
51	443.90	0
52	444.50	0.10
53	443.75	0
54	444.55	0
55	444.75	0
56	444.95	0.45
57	444.95	0
58	444.75	0
59	445.05	0
60	444.65	-0.30
61	444.50	0
62	444.85	0
63	444.05	0
64	443.50	-1.15
65	443.10	0
66	444.45	0
67	443.60	0
68	443.85	0.35
69	443.60	0
70	443.30	0
71	443.40	0
72	442.75	-1.10
73	443.10	0
74	443.75	0
75	443.25	0
76	446.30	3.55
77	446.40	0
78	446.30	0
79	447.45	0
80	446.95	0.65
81	446.65	0
82	446.55	0
83	446.90	0
84	447.55	0.60
85	447.80	0
86	1239.15	0
87	1481.80	0
88	1482.35	1034.80
89	1482.40	0
90	1481.25	0
91	1481.95	0
92	1481.75	-0.60
93	1481.40	0
94	1482.20	0
95	1482.65	0
96	1481.40	-0.35
97	1482.35	0
98	1482.15	0
99	1481.65	0
100	1482.40	1.00
101	1481.75	0
102	1483.40	0
103	1482.10	0
104	1483.15	0.75
105	1480.80	0
106	1482.25	0
107	1482.80	0
108	1482.50	-0.65
109	1483.15	0
110	1482.05	0
111	1481.70	0
112	1482.05	-0.45
113	1482.30	0
114	1481.90	0
115	1481.65	0
116	1481.20	-0.85
117	1481.85	0
118	1482.25	0
119	1481.85	0
120	1481.25	0.05
121	1481.30	0
122	1482.55	0
123	1481.40	0
124	1480.80	-0.45
125	1482.20	0
126	1482.00	0
127	1481.80	0
128	1481.05	0.25
129	1481.65	0
130	1481.80	0
131	1481.35	0
132	1481.40	0.35
133	1481.85	0
134	1481.50	0
135	1480.90	0
136	1481.80	0.40
137	1481.70	0
138	1481.70	0
139	1481.80	0
140	1481.95	0.15
141	1481.50	0
142	1481.70	0
143	1481.60	0
144	1482.50	0.55
145	1481.70	0
146	1482.40	0
147	1483.20	0
148	1482.85	0.35
149	1483.00	0
150	1482.10	0
151	1481.95	0
152	1483.00	0.15
153	1481.85	0
154	1482.60	0
155	1482.80	0
156	1482.90	-0.10
157	1482.65	0
158	1482.65	0
159	1481.95	0
160	1482.05	-0.85
161	1482.40	0
162	1482.85	0
163	1482.45	0
164	1483.20	1.15
165	1482.50	0
166	1483.95	0
167	1483.50	0
168	1483.20	0.00
169	1482.20	0
170	1483.55	0
171	1483.90	0
172	1484.15	0.95
173	1483.25	0
174	1484.05	0
175	1483.35	0
176	1483.40	-0.75
177	1484.60	0
178	1484.35	0
179	1483.15	0
180	1483.70	0.30
181	1483.70	0
182	1483.30	0
183	1483.45	0
184	1483.95	0.25
185	1483.35	0
186	1483.95	0
187	1484.25	0
188	1484.60	0.65
189	1484.50	0
190	1484.65	0
191	1485.45	0
192	1485.15	0.55
193	1485.90	0
194	1484.50	0
195	1484.00	0
196	1484.30	-0.85
197	1484.80	0
198	1484.50	0
199	1484.85	0
200	1483.75	-0.55
201	1484.80	0
202	1484.35	0
203	1486.35	0
204	1489.55	5.80
205	1489.60	0
206	1490.80	0
207	1490.00	0
208	1490.60	1.05
209	1490.40	0
210	1489.65	0
211	1491.15	0
212	1492.00	1.40
213	1491.35	0
214	1490.65	0
215	1490.40	0
216	1490.75	-1.25
217	1490.40	0
218	1490.60	0
219	1490.75	0
220	1491.20	0.45
221	1490.25	0
222	1489.95	0
223	1490.40	0
224	1489.50	-1.70
225	1490.05	0
226	1489.25	0
227	1490.85	0
228	1490.40	0.90
229	1489.95	0
230	1489.15	0
231	1489.00	0
232	1489.15	-1.25
233	1489.60	0
234	1491.80	0
235	1493.00	0
236	1492.75	3.60
237	1500.10	0
238	1516.00	0
239	1516.45	0
240	1516.40	23.65
241	1516.25	0
242	1516.45	0
243	1515.60	0
244	1515.80	-0.60
